code,name,url,type,manager,company
0,000001,华夏成长,http://fund.eastmoney.com/000001.html,混合型,董阳阳,华夏基金
1,000003,中海可转债A,http://fund.eastmoney.com/000003.html,债券型,江小震,中海基金
2,000004,中海可转债C,http://fund.eastmoney.com/000004.html,债券型,江小震,中海基金
3,000005,嘉实增强信用定期债券,http://fund.eastmoney.com/000005.html,定开债券,刘宁,嘉实基金
4,000007,鹏华国企债债券,http://fund.eastmoney.com/000007.html,债券型,刘涛,鹏华基金
5,000008,嘉实中证500ETF联接,http://fund.eastmoney.com/000008.html,联接基金,何如,嘉实基金
6,000009,易方达天天理财货币A,http://fund.eastmoney.com/000009.html,货币型,石大怿,易方达基金
7,000010,易方达天天理财货币B,http://fund.eastmoney.com/000010.html,货币型,石大怿,易方达基金
8,000011,华夏大盘精选,http://fund.eastmoney.com/000011.html,混合型,陈伟彦,华夏基金
9,000013,易方达天天理财货币R,http://fund.eastmoney.com/000013.html,货币型,石大怿,易方达基金
10,000014,华夏聚利债券,http://fund.eastmoney.com/000014.html,债券型,魏镇江,华夏基金
11,000015,华夏纯债债券A,http://fund.eastmoney.com/000015.html,债券型,柳万军,华夏基金
12,000016,华夏纯债债券C,http://fund.eastmoney.com/000016.html,债券型,柳万军,华夏基金
13,000017,财通可持续混合,http://fund.eastmoney.com/000017.html,混合型,金梓才,财通基金
14,000020,景顺长城品质投资混合,http://fund.eastmoney.com/000020.html,混合型,詹成,景顺长城基金
15,000021,华夏优势增长混合,http://fund.eastmoney.com/000021.html,混合型,郑晓辉,华夏基金
16,000022,南方中票A,http://fund.eastmoney.com/000022.html,债券指数,董浩,南方基金
17,000023,南方中票C,http://fund.eastmoney.com/000023.html,债券指数,董浩,南方基金
18,000024,大摩双利增强债券A,http://fund.eastmoney.com/000024.html,债券型,张雪,摩根士丹利华鑫基金
19,000025,大摩双利增强债券C,http://fund.eastmoney.com/000025.html,债券型,张雪,摩根士丹利华鑫基金
20,000026,泰达信用合利债券A,http://fund.eastmoney.com/000026.html,定开债券,庞宝臣,泰达宏利基金
21,000027,泰达信用合利债券B,http://fund.eastmoney.com/000027.html,定开债券,庞宝臣,泰达宏利基金
22,000028,华富保本混合,http://fund.eastmoney.com/000028.html,基金规模,华富基金,基金评级
23,000029,富国宏观策略,http://fund.eastmoney.com/000029.html,混合型,袁宜,富国基金
24,000030,长城久利保本混合,http://fund.eastmoney.com/000030.html,基金规模,长城基金,基金评级
25,000031,华夏复兴混合,http://fund.eastmoney.com/000031.html,混合型,赵航,华夏基金
26,000032,易方达信用债债券A,http://fund.eastmoney.com/000032.html,债券型,胡剑,易方达基金
27,000033,易方达信用债债券C,http://fund.eastmoney.com/000033.html,债券型,胡剑,易方达基金
28,000037,广发理财7天债券A,http://fund.eastmoney.com/000037.html,理财型,任爽,广发基金
29,000038,广发理财7天债券B,http://fund.eastmoney.com/000038.html,理财型,温秀娟,广发基金
30,000039,农银高增长混合,http://fund.eastmoney.com/000039.html,混合型,张燕,农银汇理基金
31,000041,华夏全球精选,http://fund.eastmoney.com/000041.html,QDII,李湘杰,华夏基金
32,000042,中证财通可持续发展100指,http://fund.eastmoney.com/000042.html,股票指数,吴迪,财通基金
33,000043,嘉实美国成长股票,http://fund.eastmoney.com/000043.html,QDII,张自力,嘉实基金
34,000044,嘉实美国成长股票现汇,http://fund.eastmoney.com/000044.html,QDII,张自力,嘉实基金
35,000045,工银产业债A,http://fund.eastmoney.com/000045.html,债券型,何秀红,工银瑞信基金
36,000046,工银产业债B,http://fund.eastmoney.com/000046.html,债券型,何秀红,工银瑞信基金
37,000047,华夏双债增强债券A,http://fund.eastmoney.com/000047.html,债券型,柳万军,华夏基金
38,000048,华夏双债增强债券C,http://fund.eastmoney.com/000048.html,债券型,柳万军,华夏基金
39,000049,中银标普全球资源等权重指数,http://fund.eastmoney.com/000049.html,QDII-指数,陈学林,中银基金
40,000050,长盛纯债债券A,http://fund.eastmoney.com/000050.html,债券型,张帆,长盛基金
41,000051,华夏沪深300ETF联接,http://fund.eastmoney.com/000051.html,联接基金,张弘弢,华夏基金
42,000052,长盛纯债债券C,http://fund.eastmoney.com/000052.html,债券型,张帆,长盛基金
43,000053,鹏华实业债纯债债券,http://fund.eastmoney.com/000053.html,债券型,刘太阳,鹏华基金
44,000054,鹏华双债增利债券,http://fund.eastmoney.com/000054.html,债券型,刘建岩,鹏华基金
45,000055,广发纳斯达克100指数美元现汇,http://fund.eastmoney.com/000055.html,QDII-指数,李耀柱,广发基金
46,000056,建信消费升级混合,http://fund.eastmoney.com/000056.html,混合型,邱宇航,建信基金
47,000057,中银消费主题混合,http://fund.eastmoney.com/000057.html,混合型,钱亚风云,中银基金
48,000058,国联安保本混合,http://fund.eastmoney.com/000058.html,基金规模,国联安基金,基金评级
49,000059,国联安中证医药100,http://fund.eastmoney.com/000059.html,股票指数,黄欣,国联安基金
50,000061,华夏盛世混合,http://fund.eastmoney.com/000061.html,混合型,代瑞亮,华夏基金
51,000062,银华量化智慧动力混合,http://fund.eastmoney.com/000062.html,混合型,张凯,银华基金
52,000063,长盛电子信息主题灵活配置混合,http://fund.eastmoney.com/000063.html,混合型,赵宏宇,长盛基金
53,000064,大摩18个月定期开放债券,http://fund.eastmoney.com/000064.html,定开债券,李轶,摩根士丹利华鑫基金
54,000065,国富焦点驱动混合,http://fund.eastmoney.com/000065.html,混合型,赵晓东,国海富兰克林基金
55,000066,诺安鸿鑫保本混合,http://fund.eastmoney.com/000066.html,基金规模,诺安基金,基金评级
56,000067,民生加银转债优选A,http://fund.eastmoney.com/000067.html,债券型,杨林耘,民生加银基金
57,000068,民生加银转债优选C,http://fund.eastmoney.com/000068.html,债券型,杨林耘,民生加银基金
58,000069,国投瑞银中高等级债券A,http://fund.eastmoney.com/000069.html,债券型,刘莎莎,国投瑞银基金
59,000070,国投瑞银中高等级债券C,http://fund.eastmoney.com/000070.html,债券型,刘莎莎,国投瑞银基金
60,000071,华夏恒生ETF联接,http://fund.eastmoney.com/000071.html,QDII-指数,张弘弢,华夏基金
61,000072,华安保本混合,http://fund.eastmoney.com/000072.html,基金规模,华安基金,基金评级
62,000073,上投成长动力,http://fund.eastmoney.com/000073.html,混合型,刘辉,上投摩根基金
63,000074,工银信用纯债一年定开债券A,http://fund.eastmoney.com/000074.html,定开债券,何秀红,工银瑞信基金
64,000075,华夏恒生联接现汇,http://fund.eastmoney.com/000075.html,QDII-指数,张弘弢,华夏基金
65,000076,华夏恒生联接现钞,http://fund.eastmoney.com/000076.html,QDII-指数,张弘弢,华夏基金
66,000077,工银信用纯债一年定开债券C,http://fund.eastmoney.com/000077.html,定开债券,何秀红,工银瑞信基金
67,000078,工银信用纯债两年定开债券A,http://fund.eastmoney.com/000078.html,定开债券,何秀红,工银瑞信基金
68,000079,工银信用纯债两年定开债券C,http://fund.eastmoney.com/000079.html,定开债券,何秀红,工银瑞信基金
69,000080,天治可转债A,http://fund.eastmoney.com/000080.html,债券型,王洋,天治基金
70,000081,天治可转债C,http://fund.eastmoney.com/000081.html,债券型,王洋,天治基金
71,000082,嘉实研究阿尔法股票,http://fund.eastmoney.com/000082.html,股票型,张露,嘉实基金
72,000083,汇添富消费行业混合,http://fund.eastmoney.com/000083.html,混合型,胡昕炜,汇添富基金
73,000084,博时安盈债券A,http://fund.eastmoney.com/000084.html,债券型,黄海峰,博时基金
