code,name,url,type,manager,company
0,000001,华夏成长,http://fund.eastmoney.com/000001.html,混合型,董阳阳,华夏基金
8,000011,华夏大盘精选,http://fund.eastmoney.com/000011.html,混合型,陈伟彦,华夏基金
13,000017,财通可持续混合,http://fund.eastmoney.com/000017.html,混合型,金梓才,财通基金
14,000020,景顺长城品质投资混合,http://fund.eastmoney.com/000020.html,混合型,詹成,景顺长城基金
15,000021,华夏优势增长混合,http://fund.eastmoney.com/000021.html,混合型,郑晓辉,华夏基金
23,000029,富国宏观策略,http://fund.eastmoney.com/000029.html,混合型,袁宜,富国基金
25,000031,华夏复兴混合,http://fund.eastmoney.com/000031.html,混合型,赵航,华夏基金
30,000039,农银高增长混合,http://fund.eastmoney.com/000039.html,混合型,张燕,农银汇理基金
46,000056,建信消费升级混合,http://fund.eastmoney.com/000056.html,混合型,邱宇航,建信基金
47,000057,中银消费主题混合,http://fund.eastmoney.com/000057.html,混合型,钱亚风云,中银基金
50,000061,华夏盛世混合,http://fund.eastmoney.com/000061.html,混合型,代瑞亮,华夏基金
51,000062,银华量化智慧动力混合,http://fund.eastmoney.com/000062.html,混合型,张凯,银华基金
52,000063,长盛电子信息主题灵活配置混合,http://fund.eastmoney.com/000063.html,混合型,赵宏宇,长盛基金
54,000065,国富焦点驱动混合,http://fund.eastmoney.com/000065.html,混合型,赵晓东,国海富兰克林基金
62,000073,上投成长动力,http://fund.eastmoney.com/000073.html,混合型,刘辉,上投摩根基金
72,000083,汇添富消费行业混合,http://fund.eastmoney.com/000083.html,混合型,胡昕炜,汇添富基金
89,000110,金鹰元安混合A,http://fund.eastmoney.com/000110.html,混合型,刘丽娟,金鹰基金
95,000117,广发轮动配置混合,http://fund.eastmoney.com/000117.html,混合型,吴兴武,广发基金
98,000120,中银美丽中国混合,http://fund.eastmoney.com/000120.html,混合型,王伟,中银基金
99,000121,华夏永福养老理财混合A,http://fund.eastmoney.com/000121.html,混合型,何家琪,华夏基金
102,000124,华宝服务优选混合,http://fund.eastmoney.com/000124.html,混合型,楼鸿强,华宝基金
103,000125,上投摩根天颐年丰混合A,http://fund.eastmoney.com/000125.html,混合型,聂曙光,上投摩根基金
105,000127,农银行业领先混合,http://fund.eastmoney.com/000127.html,混合型,张峰,农银汇理基金
112,000136,民生加银策略精选混合,http://fund.eastmoney.com/000136.html,混合型,孙伟,民生加银基金
126,000165,国投瑞银策略精选混合,http://fund.eastmoney.com/000165.html,混合型,陈小玲,国投瑞银基金
127,000166,中海策略精选灵活配置混合,http://fund.eastmoney.com/000166.html,混合型,刘俊,中海基金
128,000167,广发聚优灵活配置混合A,http://fund.eastmoney.com/000167.html,混合型,唐晓斌,广发基金
130,000172,华泰柏瑞量化增强混合A,http://fund.eastmoney.com/000172.html,混合型,田汉卿,华泰柏瑞基金
131,000173,汇添富美丽30混合,http://fund.eastmoney.com/000173.html,混合型,王栩,汇添富基金
136,000178,博时灵活配置混合A,http://fund.eastmoney.com/000178.html,混合型,蒋娜,博时基金
148,000190,中银新回报灵活配置混合,http://fund.eastmoney.com/000190.html,混合型,李建,中银基金
157,000199,国泰策略收益灵活配置混合,http://fund.eastmoney.com/000199.html,混合型,艾小军,国泰基金
167,000209,信诚新兴产业混合,http://fund.eastmoney.com/000209.html,混合型,郑伟,信诚基金
172,000214,广发成长优选混合,http://fund.eastmoney.com/000214.html,混合型,王小松,广发基金
173,000215,广发趋势优选灵活配置,http://fund.eastmoney.com/000215.html,混合型,谭昌杰,广发基金
177,000219,博时裕益灵活配置,http://fund.eastmoney.com/000219.html,混合型,周心鹏,博时基金
178,000220,富国医疗保健行业混合,http://fund.eastmoney.com/000220.html,混合型,戴益强,富国基金
190,000241,宝盈核心优势混合C,http://fund.eastmoney.com/000241.html,混合型,李健伟,宝盈基金
191,000242,景顺长城策略精选,http://fund.eastmoney.com/000242.html,混合型,张靖,景顺长城基金
196,000251,工银金融地产混合,http://fund.eastmoney.com/000251.html,混合型,鄢耀,工银瑞信基金
201,000256,上投摩根红利回报混合A,http://fund.eastmoney.com/000256.html,混合型,征茂平,上投摩根基金
204,000259,农银区间收益混合,http://fund.eastmoney.com/000259.html,混合型,陈富权,农银汇理基金
206,000263,工银信息产业混合,http://fund.eastmoney.com/000263.html,混合型,单文,工银瑞信基金
207,000264,博时内需增长混合,http://fund.eastmoney.com/000264.html,混合型,刘阳,博时基金
216,000273,华润元大安鑫灵活配置混合,http://fund.eastmoney.com/000273.html,混合型,袁华涛,华润元大基金
220,000278,融通通泽灵活配置混合,http://fund.eastmoney.com/000278.html,混合型,余志勇,融通基金
221,000279,华商红利优选灵活配置,http://fund.eastmoney.com/000279.html,混合型,马国江,华商基金
232,000294,华安生态优先混合,http://fund.eastmoney.com/000294.html,混合型,刘伟亭,华安基金
246,000308,建信创新中国混合,http://fund.eastmoney.com/000308.html,混合型,邵卓,建信基金
252,000314,招商瑞丰灵活配置混合发起式,http://fund.eastmoney.com/000314.html,混合型,王刚,招商基金
264,000328,上投摩根转型动力,http://fund.eastmoney.com/000328.html,混合型,孟亮,上投摩根基金
272,000336,农银研究精选,http://fund.eastmoney.com/000336.html,混合型,赵诣,农银汇理基金
274,000339,长城医疗保健混合,http://fund.eastmoney.com/000339.html,混合型,谭小兵,长城基金
283,000354,长盛城镇化主题混合,http://fund.eastmoney.com/000354.html,混合型,乔培涛,长盛基金
289,000362,国泰聚信价值优势灵活配置A,http://fund.eastmoney.com/000362.html,混合型,程洲,国泰基金
290,000363,国泰聚信价值优势灵活配置C,http://fund.eastmoney.com/000363.html,混合型,程洲,国泰基金
292,000367,国泰安康养老定期支付混合A,http://fund.eastmoney.com/000367.html,混合型,王琳,国泰基金
310,000390,华商优势行业,http://fund.eastmoney.com/000390.html,混合型,周海栋,华商基金
315,000398,华富灵活配置混合,http://fund.eastmoney.com/000398.html,混合型,王翔,华富基金
320,000404,易方达新兴成长灵活配置,http://fund.eastmoney.com/000404.html,混合型,宋昆,易方达基金
324,000408,民生加银城镇化混合,http://fund.eastmoney.com/000408.html,混合型,柳世庆,民生加银基金
326,000410,益民服务领先混合,http://fund.eastmoney.com/000410.html,混合型,赵若琼,益民基金
330,000414,嘉实绝对收益策略定期混合,http://fund.eastmoney.com/000414.html,混合型,刘斌,嘉实基金
333,000417,国联安新精选灵活配置,http://fund.eastmoney.com/000417.html,混合型,魏东,国联安基金
339,000423,前海开源事件驱动混合A,http://fund.eastmoney.com/000423.html,混合型,王霞,前海开源基金
347,000431,鹏华品牌传承混合,http://fund.eastmoney.com/000431.html,混合型,王宗合,鹏华基金
348,000432,中银优秀企业混合,http://fund.eastmoney.com/000432.html,混合型,赵志华,中银基金
349,000433,安信鑫发优选混合,http://fund.eastmoney.com/000433.html,混合型,蓝雁书,安信基金
352,000436,易方达裕惠定开混合发起式,http://fund.eastmoney.com/000436.html,混合型,胡剑,易方达基金
356,000452,南方医保,http://fund.eastmoney.com/000452.html,混合型,刘霄汉,南方基金
358,000458,英大领先回报发起式,http://fund.eastmoney.com/000458.html,混合型,袁忠伟,英大基金
359,000462,农银主题轮动混合,http://fund.eastmoney.com/000462.html,混合型,颜伟鹏,农银汇理基金
371,000477,广发主题领先混合,http://fund.eastmoney.com/000477.html,混合型,李巍,广发基金
374,000480,东方红新动力混合,http://fund.eastmoney.com/000480.html,混合型,周云,上海东方证券资产管理
387,000496,长安产业精选混合A,http://fund.eastmoney.com/000496.html,混合型,栾绍菲,长安基金
396,000507,泰达宏利养老混合A,http://fund.eastmoney.com/000507.html,混合型,丁宇佳,泰达宏利基金
397,000508,泰达宏利养老混合B,http://fund.eastmoney.com/000508.html,混合型,丁宇佳,泰达宏利基金
400,000511,国泰国策驱动灵活配置混合A,http://fund.eastmoney.com/000511.html,混合型,樊利安,国泰基金
401,000512,国泰结构转型灵活配置混合A,http://fund.eastmoney.com/000512.html,混合型,樊利安,国泰基金
405,000520,上银新兴价值成长混合,http://fund.eastmoney.com/000520.html,混合型,赵治烨,上银基金
406,000522,华润元大信息传媒科技混合,http://fund.eastmoney.com/000522.html,混合型,袁华涛,华润元大基金
407,000523,国投瑞银医疗保健混合,http://fund.eastmoney.com/000523.html,混合型,张佳荣,国投瑞银基金
409,000526,国泰浓益灵活配置混合A,http://fund.eastmoney.com/000526.html,混合型,樊利安,国泰基金
410,000527,南方新优享,http://fund.eastmoney.com/000527.html,混合型,史博,南方基金
412,000529,广发竞争优势混合,http://fund.eastmoney.com/000529.html,混合型,苗宇,广发基金
413,000530,招商丰盛稳定增长混合A,http://fund.eastmoney.com/000530.html,混合型,何文韬,招商基金
414,000531,东吴阿尔法灵活配置混合,http://fund.eastmoney.com/000531.html,混合型,王立立,东吴基金
415,000532,景顺长城优势企业混合,http://fund.eastmoney.com/000532.html,混合型,江科宏,景顺长城基金
417,000534,长盛高端装备制造灵活配置,http://fund.eastmoney.com/000534.html,混合型,乔培涛,长盛基金
418,000535,长盛航天海工装备灵活配置,http://fund.eastmoney.com/000535.html,混合型,乔培涛,长盛基金
420,000538,诺安优势行业混合A,http://fund.eastmoney.com/000538.html,混合型,吴博俊,诺安基金
423,000541,华商创新成长灵活配置,http://fund.eastmoney.com/000541.html,混合型,高兵,华商基金
426,000545,中邮核心竞争力混合,http://fund.eastmoney.com/000545.html,混合型,任泽松,中邮基金
428,000547,建信健康民生混合,http://fund.eastmoney.com/000547.html,混合型,姜锋,建信基金
431,000550,广发新动力混合,http://fund.eastmoney.com/000550.html,混合型,马文文,广发基金
432,000551,信诚幸福消费混合,http://fund.eastmoney.com/000551.html,混合型,张光成,信诚基金
