code,name,type,manager,company
000001,华夏成长,混合型,董阳阳,华夏基金
000003,中海可转债A,债券型,江小震,中海基金
000004,中海可转债C,债券型,江小震,中海基金
000005,嘉实增强信用定期债券,定开债券,刘宁,嘉实基金
000007,鹏华国企债债券,债券型,刘涛,鹏华基金
000008,嘉实中证500ETF联接,联接基金,何如,嘉实基金
000009,易方达天天理财货币A,货币型,石大怿,易方达基金
000010,易方达天天理财货币B,货币型,石大怿,易方达基金
000011,华夏大盘精选,混合型,陈伟彦,华夏基金
000013,易方达天天理财货币R,货币型,石大怿,易方达基金
000014,华夏聚利债券,债券型,魏镇江,华夏基金
000015,华夏纯债债券A,债券型,柳万军,华夏基金
000016,华夏纯债债券C,债券型,柳万军,华夏基金
000017,财通可持续混合,混合型,金梓才,财通基金
000020,景顺长城品质投资混合,混合型,詹成,景顺长城基金
000021,华夏优势增长混合,混合型,郑晓辉,华夏基金
000022,南方中票A,债券指数,董浩,南方基金
000023,南方中票C,债券指数,董浩,南方基金
000024,大摩双利增强债券A,债券型,张雪,摩根士丹利华鑫基金
000025,大摩双利增强债券C,债券型,张雪,摩根士丹利华鑫基金
000026,泰达信用合利债券A,定开债券,庞宝臣,泰达宏利基金
000027,泰达信用合利债券B,定开债券,庞宝臣,泰达宏利基金
000028,华富保本混合,基金规模,华富基金,基金评级
000029,富国宏观策略,混合型,袁宜,富国基金
000030,长城久利保本混合,基金规模,长城基金,基金评级
000031,华夏复兴混合,混合型,赵航,华夏基金
000032,易方达信用债债券A,债券型,胡剑,易方达基金
000033,易方达信用债债券C,债券型,胡剑,易方达基金
000037,广发理财7天债券A,理财型,任爽,广发基金
000038,广发理财7天债券B,理财型,温秀娟,广发基金
000039,农银高增长混合,混合型,张燕,农银汇理基金
000041,华夏全球精选,QDII,李湘杰,华夏基金
000042,中证财通可持续发展100指,股票指数,吴迪,财通基金
000043,嘉实美国成长股票,QDII,张自力,嘉实基金
000044,嘉实美国成长股票现汇,QDII,张自力,嘉实基金
000045,工银产业债A,债券型,何秀红,工银瑞信基金
000046,工银产业债B,债券型,何秀红,工银瑞信基金
