code,name,type,manager,company
000001,华夏成长,混合型,董阳阳,华夏基金
000011,华夏大盘精选,混合型,陈伟彦,华夏基金
000017,财通可持续混合,混合型,金梓才,财通基金
000020,景顺长城品质投资混合,混合型,詹成,景顺长城基金
000021,华夏优势增长混合,混合型,郑晓辉,华夏基金
000029,富国宏观策略,混合型,袁宜,富国基金
000031,华夏复兴混合,混合型,赵航,华夏基金
000039,农银高增长混合,混合型,张燕,农银汇理基金
000056,建信消费升级混合,混合型,邱宇航,建信基金
000057,中银消费主题混合,混合型,钱亚风云,中银基金
000061,华夏盛世混合,混合型,代瑞亮,华夏基金
000062,银华量化智慧动力混合,混合型,张凯,银华基金
000063,长盛电子信息主题灵活配置混合,混合型,赵宏宇,长盛基金
000065,国富焦点驱动混合,混合型,赵晓东,国海富兰克林基金
000073,上投成长动力,混合型,刘辉,上投摩根基金
000083,汇添富消费行业混合,混合型,胡昕炜,汇添富基金
000110,金鹰元安混合A,混合型,刘丽娟,金鹰基金
000117,广发轮动配置混合,混合型,吴兴武,广发基金
000120,中银美丽中国混合,混合型,王伟,中银基金
000121,华夏永福养老理财混合A,混合型,何家琪,华夏基金
000124,华宝服务优选混合,混合型,楼鸿强,华宝基金
000125,上投摩根天颐年丰混合A,混合型,聂曙光,上投摩根基金
000127,农银行业领先混合,混合型,张峰,农银汇理基金
000136,民生加银策略精选混合,混合型,孙伟,民生加银基金
000165,国投瑞银策略精选混合,混合型,陈小玲,国投瑞银基金
000166,中海策略精选灵活配置混合,混合型,刘俊,中海基金
000167,广发聚优灵活配置混合A,混合型,唐晓斌,广发基金
000172,华泰柏瑞量化增强混合A,混合型,田汉卿,华泰柏瑞基金
000173,汇添富美丽30混合,混合型,王栩,汇添富基金
000178,博时灵活配置混合A,混合型,蒋娜,博时基金
000190,中银新回报灵活配置混合,混合型,李建,中银基金
000199,国泰策略收益灵活配置混合,混合型,艾小军,国泰基金
000209,信诚新兴产业混合,混合型,郑伟,信诚基金
000214,广发成长优选混合,混合型,王小松,广发基金
000215,广发趋势优选灵活配置,混合型,谭昌杰,广发基金
000219,博时裕益灵活配置,混合型,周心鹏,博时基金
000220,富国医疗保健行业混合,混合型,戴益强,富国基金
000241,宝盈核心优势混合C,混合型,李健伟,宝盈基金
000242,景顺长城策略精选,混合型,张靖,景顺长城基金
000251,工银金融地产混合,混合型,鄢耀,工银瑞信基金
000256,上投摩根红利回报混合A,混合型,征茂平,上投摩根基金
000259,农银区间收益混合,混合型,陈富权,农银汇理基金
000263,工银信息产业混合,混合型,单文,工银瑞信基金
000264,博时内需增长混合,混合型,刘阳,博时基金
000273,华润元大安鑫灵活配置混合,混合型,袁华涛,华润元大基金
000278,融通通泽灵活配置混合,混合型,余志勇,融通基金
000279,华商红利优选灵活配置,混合型,马国江,华商基金
000294,华安生态优先混合,混合型,刘伟亭,华安基金
000308,建信创新中国混合,混合型,邵卓,建信基金
000314,招商瑞丰灵活配置混合发起式,混合型,王刚,招商基金
000328,上投摩根转型动力,混合型,孟亮,上投摩根基金
000336,农银研究精选,混合型,赵诣,农银汇理基金
000339,长城医疗保健混合,混合型,谭小兵,长城基金
000354,长盛城镇化主题混合,混合型,乔培涛,长盛基金
000362,国泰聚信价值优势灵活配置A,混合型,程洲,国泰基金
000363,国泰聚信价值优势灵活配置C,混合型,程洲,国泰基金
000367,国泰安康养老定期支付混合A,混合型,王琳,国泰基金
000390,华商优势行业,混合型,周海栋,华商基金
000398,华富灵活配置混合,混合型,王翔,华富基金
000404,易方达新兴成长灵活配置,混合型,宋昆,易方达基金
000408,民生加银城镇化混合,混合型,柳世庆,民生加银基金
000410,益民服务领先混合,混合型,赵若琼,益民基金
000414,嘉实绝对收益策略定期混合,混合型,刘斌,嘉实基金
000417,国联安新精选灵活配置,混合型,魏东,国联安基金
000423,前海开源事件驱动混合A,混合型,王霞,前海开源基金
000431,鹏华品牌传承混合,混合型,王宗合,鹏华基金
000432,中银优秀企业混合,混合型,赵志华,中银基金
000433,安信鑫发优选混合,混合型,蓝雁书,安信基金
000436,易方达裕惠定开混合发起式,混合型,胡剑,易方达基金
000452,南方医保,混合型,刘霄汉,南方基金
000458,英大领先回报发起式,混合型,袁忠伟,英大基金
000462,农银主题轮动混合,混合型,颜伟鹏,农银汇理基金
000477,广发主题领先混合,混合型,李巍,广发基金
000480,东方红新动力混合,混合型,周云,上海东方证券资产管理
000496,长安产业精选混合A,混合型,栾绍菲,长安基金
000507,泰达宏利养老混合A,混合型,丁宇佳,泰达宏利基金
000508,泰达宏利养老混合B,混合型,丁宇佳,泰达宏利基金
000511,国泰国策驱动灵活配置混合A,混合型,樊利安,国泰基金
000512,国泰结构转型灵活配置混合A,混合型,樊利安,国泰基金
000520,上银新兴价值成长混合,混合型,赵治烨,上银基金
000522,华润元大信息传媒科技混合,混合型,袁华涛,华润元大基金
000523,国投瑞银医疗保健混合,混合型,张佳荣,国投瑞银基金
000526,国泰浓益灵活配置混合A,混合型,樊利安,国泰基金
000527,南方新优享,混合型,史博,南方基金
000529,广发竞争优势混合,混合型,苗宇,广发基金
000530,招商丰盛稳定增长混合A,混合型,何文韬,招商基金
000531,东吴阿尔法灵活配置混合,混合型,王立立,东吴基金
000532,景顺长城优势企业混合,混合型,江科宏,景顺长城基金
000534,长盛高端装备制造灵活配置,混合型,乔培涛,长盛基金
000535,长盛航天海工装备灵活配置,混合型,乔培涛,长盛基金
000538,诺安优势行业混合A,混合型,吴博俊,诺安基金
000541,华商创新成长灵活配置,混合型,高兵,华商基金
000545,中邮核心竞争力混合,混合型,任泽松,中邮基金
000547,建信健康民生混合,混合型,姜锋,建信基金
000550,广发新动力混合,混合型,马文文,广发基金
000551,信诚幸福消费混合,混合型,张光成,信诚基金
000554,中国梦基金,混合型,蔡望鹏,南方基金
000556,国投新机遇混合A,混合型,桑俊,国投瑞银基金
000557,国投新机遇混合C,混合型,桑俊,国投瑞银基金
000566,华泰柏瑞创新升级混合,混合型,张慧,华泰柏瑞基金
000567,广发聚祥灵活混合,混合型,易阳方,广发基金
000571,中邮双动力混合,混合型,张萌,中邮基金
000572,中银多策略混合,混合型,李建,中银基金
000573,天弘通利混合,混合型,姜晓丽,天弘基金
000574,宝盈新价值混合,混合型,段鹏程,宝盈基金
000584,新华鑫益灵活配置混合,混合型,崔建波,新华基金
000585,嘉实对冲套利定期混合,混合型,刘斌,嘉实基金
000587,大成灵活配置混合,混合型,王磊,大成基金
000589,光大保德信银发商机混合,混合型,陈栋,光大保德信基金
000590,华安新活力混合,混合型,贺涛,华安基金
000591,中银健康生活混合,混合型,辜岚,中银基金
000595,嘉实泰和混合,混合型,归凯,嘉实基金
